Date_index,Date_m
0,2019-01-31
1,2019-02-28
2,2019-03-31
3,2019-04-30
4,2019-05-31
5,2019-06-30
6,2019-07-31
7,2019-08-31
8,2019-09-30
9,2019-10-31
10,2019-11-30
11,2019-12-31
12,2020-01-31
13,2020-02-29
14,2020-03-31
15,2020-04-30
16,2020-05-31
17,2020-06-30
18,2020-07-31
19,2020-08-31
20,2020-09-30
21,2020-10-31
22,2020-11-30
23,2020-12-31
24,2021-01-31
25,2021-02-28
26,2021-03-31
27,2021-04-30
28,2021-05-31
29,2021-06-30
30,2021-07-31
31,2021-08-31
32,2021-09-30
33,2021-10-31
34,2021-11-30
35,2021-12-31
36,2022-01-31
37,2022-02-28
38,2022-03-31
39,2022-04-30
40,2022-05-31
41,2022-06-30
42,2022-07-31
43,2022-08-31
44,2022-09-30
45,2022-10-31
46,2022-11-30
47,2022-12-31
48,2023-01-31
49,2023-02-28
50,2023-03-31
51,2023-04-30
52,2023-05-31
53,2023-06-30
54,2023-07-31
55,2023-08-31
56,2023-09-30
57,2023-10-31
58,2023-11-30
59,2023-12-31
