Native_Indian_index,Date_index,Maternal_Deaths,Live_Births,Maternal_Mortality_Rate
0,0,,29190,
1,1,,29142,
2,2,,29020,
3,3,,29173,
4,4,12,29194,
5,5,11,29067,
6,6,12,28996,
7,7,14,28777,
8,8,16,28807,
9,9,15,28680,
10,10,14,28472,
11,11,14,28450,
12,12,14,28217,
13,13,14,28083,
14,14,15,27964,
15,15,16,27866,
16,16,13,27724,
17,17,15,27671,
18,18,15,27570,
19,19,13,27469,
20,20,12,27338,
21,21,12,27194,
22,22,13,27029,
23,23,13,26813,
24,24,17,26657,
25,25,18,26541,
26,26,17,26512,
27,27,16,26439,
28,28,19,26247,
29,29,18,26255,
30,30,21,26182,80.2
31,31,24,26075,92.0
32,32,25,26078,95.9
33,33,24,26068,92.1
34,34,25,26101,95.8
35,35,31,26124,118.7
36,36,29,26168,110.8
37,37,27,26173,103.2
38,38,26,26170,99.4
39,39,26,25945,100.2
40,40,24,25971,92.4
41,41,24,25858,92.8
42,42,23,25812,89.1
43,43,20,25776,77.6
44,44,19,25593,
45,45,19,25514,
46,46,17,25659,
47,47,12,25721,
48,48,10,25762,
49,49,10,25677,
50,50,13,25557,
51,51,13,25545,
52,52,12,25481,
53,53,12,25324,
54,54,,25145,
55,55,,24964,
56,56,,24901,
57,57,10,24840,
58,58,10,24739,
59,59,10,24559,
