Pacific_index,Date_index,Maternal_Deaths,Live_Births,Maternal_Mortality_Rate
0,0,,9476,
1,1,,9552,
2,2,,9556,
3,3,,9508,
4,4,,9559,
5,5,,9524,
6,6,,9564,
7,7,,9613,
8,8,,9623,
9,9,,9681,
10,10,,9672,
11,11,,9770,
12,12,,9783,
13,13,,9807,
14,14,,9787,
15,15,,9754,
16,16,,9727,
17,17,,9740,
18,18,,9735,
19,19,,9698,
20,20,,9681,
21,21,,9653,
22,22,,9681,
23,23,,9626,
24,24,,9622,
25,25,,9453,
26,26,,9411,
27,27,,9439,
28,28,,9437,
29,29,,9413,
30,30,,9418,
31,31,,9434,
32,32,,9487,
33,33,,9515,
34,34,,9491,
35,35,,9531,
36,36,,9583,
37,37,,9710,
38,38,,9799,
39,39,,9835,
40,40,,9834,
41,41,,10023,
42,42,,10053,
43,43,,10067,
44,44,,10071,
45,45,,10016,
46,46,,10034,
47,47,,10122,
48,48,,10068,
49,49,,10111,
50,50,,10164,
51,51,,10173,
52,52,,10163,
53,53,,10139,
54,54,,10104,
55,55,,10150,
56,56,,10138,
57,57,,10200,
58,58,,10269,
59,59,,10115,
